City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,eirunepe,-6.6603,-69.8736,24.02,84,71,1.16,BR,1697094617
1,port-aux-francais,-49.35,70.2167,1.69,100,100,6.77,TF,1697094617
2,ilulissat,69.2167,-51.1,-2.99,74,75,7.72,GL,1697094617
3,wegrow,52.3995,22.0163,18.27,60,100,7.87,PL,1697094617
4,poronaysk,49.2167,143.1167,14.05,46,7,4.37,RU,1697094553
5,mongagua,-24.0931,-46.6208,23.14,88,100,4.67,BR,1697094342
6,deschutes river woods,43.9915,-121.3584,6.77,82,40,0.0,US,1697094618
7,nabire,-3.3667,135.4833,29.01,71,100,1.83,ID,1697094567
8,tibiri,13.5627,7.0485,29.75,27,91,3.84,NE,1697094619
9,ulaangom,49.9811,92.0667,16.25,34,9,2.74,MN,1697094619
10,badger,64.8,-147.5333,-4.07,90,100,0.0,US,1697094619
11,tromso,69.6496,18.957,3.01,70,40,6.69,NO,1697094619
12,ban na san,8.8004,99.3637,32.14,99,71,1.28,TH,1697094620
13,turpan,42.9333,89.1667,29.51,14,0,1.59,CN,1697094620
14,rahuri,19.3833,74.65,32.46,34,0,3.66,IN,1697094620
15,la ronge,55.1001,-105.2842,6.73,90,6,2.73,CA,1697094620
16,al kharijah,25.4514,30.5464,26.82,36,0,6.65,EG,1697094620
17,zakamensk,50.3741,103.2863,15.24,36,14,1.09,RU,1697094621
18,bethel,41.3712,-73.414,11.63,92,0,0.0,US,1697094621
19,malinyi,-8.9333,36.1333,31.36,38,20,0.69,TZ,1697094556
20,princeville,45.7668,-61.2985,13.84,96,100,0.45,CA,1697094621
21,kerikeri,-35.2268,173.9474,13.28,79,0,3.31,NZ,1697094621
22,hamilton,39.1834,-84.5333,13.21,87,0,2.57,US,1697094543
23,namibe,-15.1961,12.1522,21.4,81,15,1.91,AO,1697094622
24,paysandu,-32.3214,-58.0756,4.37,86,0,3.24,UY,1697094472
25,yellowknife,62.456,-114.3525,7.45,100,100,3.09,CA,1697094612
26,qusmuryn,52.4503,64.6311,8.38,40,0,7.09,KZ,1697094622
27,bilibino,68.0546,166.4372,-6.69,87,100,2.7,RU,1697094623
